Quality;Top;High;Mid;Low;NA;???;Total
FA;;8;17;17;;;42
FL;;;;5;;;5
GA;6;31;53;90;;2;182
B;40;193;313;506;;65;1117
C;27;354;684;1437;;343;2845
Start;20;366;1248;3868;2;1582;7086
Stub;;74;599;4088;;1188;5949
List;1;38;87;122;;31;279
Category;;;6;2;4159;;4167
Disambig;;;;;69;;69
File;;;;;257;;257
Portal;;;;;105;;105
Project;;;;;192;;192
Redirect;;;;6;796;;802
Template;;1;1;1;338;;341
Other;;;;;97;;97
Unassessed;;;;2;;71;73
